"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"vasilhames",-0.0153398365792494,0.0047541382093437,0.00571284311564492,0.0130170696119108,-0.00748182138285437,1.47172431130644e-05,-0.00447817518207572,0.00956554547043192,-0.00689300783420805,0.0066477758001686
"andréia",-0.00388940197347832,-0.000167227975075335,-0.00133049003753799,0.00174282190904646,-0.00122764947616457,0.000352628117197559,-0.0018989234541666,0.00103016874991247,8.26169263489566e-05,-0.000899482766560444
"camarote",-0.00388940197347832,-0.000167227975075335,-0.00133049003753799,0.00174282190904646,-0.00122764947616457,0.000352628117197559,-0.0018989234541666,0.00103016874991247,8.26169263489566e-05,-0.000899482766560444
"d",-0.00388940197347832,-0.000167227975075335,-0.00133049003753799,0.00174282190904646,-0.00122764947616457,0.000352628117197559,-0.0018989234541666,0.00103016874991247,8.26169263489566e-05,-0.000899482766560444
"deus",-0.00388940197347832,-0.000167227975075335,-0.00133049003753799,0.00174282190904646,-0.00122764947616457,0.000352628117197559,-0.0018989234541666,0.00103016874991247,8.26169263489566e-05,-0.000899482766560444
"esposo",-0.00388940197347832,-0.000167227975075335,-0.00133049003753799,0.00174282190904646,-0.00122764947616457,0.000352628117197559,-0.0018989234541666,0.00103016874991247,8.26169263489566e-05,-0.000899482766560444
"impiamente",-0.00388940197347832,-0.000167227975075335,-0.00133049003753799,0.00174282190904646,-0.00122764947616457,0.000352628117197559,-0.0018989234541666,0.00103016874991247,8.26169263489566e-05,-0.000899482766560444
"infelicidade",-0.00388940197347832,-0.000167227975075335,-0.00133049003753799,0.00174282190904646,-0.00122764947616457,0.000352628117197559,-0.0018989234541666,0.00103016874991247,8.26169263489566e-05,-0.000899482766560444
"infringindo",-0.00388940197347832,-0.000167227975075335,-0.00133049003753799,0.00174282190904646,-0.00122764947616457,0.000352628117197559,-0.0018989234541666,0.00103016874991247,8.26169263489566e-05,-0.000899482766560444
"lado",-0.00388940197347832,-0.000167227975075335,-0.00133049003753799,0.00174282190904646,-0.00122764947616457,0.000352628117197559,-0.0018989234541666,0.00103016874991247,8.26169263489566e-05,-0.000899482766560444
"legítimo",-0.00388940197347832,-0.000167227975075335,-0.00133049003753799,0.00174282190904646,-0.00122764947616457,0.000352628117197559,-0.0018989234541666,0.00103016874991247,8.26169263489566e-05,-0.000899482766560444
"lei",-0.00388940197347832,-0.000167227975075335,-0.00133049003753799,0.00174282190904646,-0.00122764947616457,0.000352628117197559,-0.0018989234541666,0.00103016874991247,8.26169263489566e-05,-0.000899482766560444
"lucinda",-0.00388940197347832,-0.000167227975075335,-0.00133049003753799,0.00174282190904646,-0.00122764947616457,0.000352628117197559,-0.0018989234541666,0.00103016874991247,8.26169263489566e-05,-0.000899482766560444
"mandamento",-0.00388940197347832,-0.000167227975075335,-0.00133049003753799,0.00174282190904646,-0.00122764947616457,0.000352628117197559,-0.0018989234541666,0.00103016874991247,8.26169263489566e-05,-0.000899482766560444
"nono",-0.00388940197347832,-0.000167227975075335,-0.00133049003753799,0.00174282190904646,-0.00122764947616457,0.000352628117197559,-0.0018989234541666,0.00103016874991247,8.26169263489566e-05,-0.000899482766560444
"num",-0.00388940197347832,-0.000167227975075335,-0.00133049003753799,0.00174282190904646,-0.00122764947616457,0.000352628117197559,-0.0018989234541666,0.00103016874991247,8.26169263489566e-05,-0.000899482766560444
"pecou",-0.00388940197347832,-0.000167227975075335,-0.00133049003753799,0.00174282190904646,-0.00122764947616457,0.000352628117197559,-0.0018989234541666,0.00103016874991247,8.26169263489566e-05,-0.000899482766560444
"teatro",-0.00388940197347832,-0.000167227975075335,-0.00133049003753799,0.00174282190904646,-0.00122764947616457,0.000352628117197559,-0.0018989234541666,0.00103016874991247,8.26169263489566e-05,-0.000899482766560444
"ver",-0.00388940197347832,-0.000167227975075335,-0.00133049003753799,0.00174282190904646,-0.00122764947616457,0.000352628117197559,-0.0018989234541666,0.00103016874991247,8.26169263489566e-05,-0.000899482766560444
"criou",-0.0171047470076902,0.0104498340330017,-0.00778955059392726,0.00371039118821777,0.00790294547562071,-0.00561478473003412,0.00223245582647649,-0.00783629734491479,-0.0167699923836949,-0.00312457885771878
"larga",-0.0171047470076902,0.0104498340330017,-0.00778955059392726,0.00371039118821777,0.00790294547562071,-0.00561478473003412,0.00223245582647649,-0.00783629734491479,-0.0167699923836949,-0.00312457885771878
"leite",-0.0171047470076902,0.0104498340330017,-0.00778955059392726,0.00371039118821777,0.00790294547562071,-0.00561478473003412,0.00223245582647649,-0.00783629734491479,-0.0167699923836949,-0.00312457885771878
"nascera",-0.0171047470076902,0.0104498340330017,-0.00778955059392726,0.00371039118821777,0.00790294547562071,-0.00561478473003412,0.00223245582647649,-0.00783629734491479,-0.0167699923836949,-0.00312457885771878
"paquetá",-0.0171047470076902,0.0104498340330017,-0.00778955059392726,0.00371039118821777,0.00790294547562071,-0.00561478473003412,0.00223245582647649,-0.00783629734491479,-0.0167699923836949,-0.00312457885771878
"estrago",-0.0154922086710195,0.00477703463184765,0.00574985955758385,0.0131462379932816,-0.007562406286246,-2.01618477286784e-05,-0.00451845401640522,0.00957603286083311,-0.00691778010085171,0.0067240551715119
"imaginar",-0.0154922086710195,0.00477703463184765,0.00574985955758385,0.0131462379932816,-0.007562406286246,-2.01618477286784e-05,-0.00451845401640522,0.00957603286083311,-0.00691778010085171,0.0067240551715119
"cavalaria",-0.00387103532954278,-0.000166354702479759,-0.00132558542217377,0.00173666631659398,-0.00122372983682978,0.00035077424413074,-0.00189231417351137,0.00102642931796704,8.17467950464222e-05,-0.000896494948078833
"remígio",-0.00387103532954278,-0.000166354702479759,-0.00132558542217377,0.00173666631659398,-0.00122372983682978,0.00035077424413074,-0.00189231417351137,0.00102642931796704,8.17467950464222e-05,-0.000896494948078833
"soares",-0.00387103532954278,-0.000166354702479759,-0.00132558542217377,0.00173666631659398,-0.00122372983682978,0.00035077424413074,-0.00189231417351137,0.00102642931796704,8.17467950464222e-05,-0.000896494948078833
"tenente",-0.00387103532954278,-0.000166354702479759,-0.00132558542217377,0.00173666631659398,-0.00122372983682978,0.00035077424413074,-0.00189231417351137,0.00102642931796704,8.17467950464222e-05,-0.000896494948078833
"teve",-0.00387103532954278,-0.000166354702479759,-0.00132558542217377,0.00173666631659398,-0.00122372983682978,0.00035077424413074,-0.00189231417351137,0.00102642931796704,8.17467950464222e-05,-0.000896494948078833
"0,2",-0.0307216280596441,0.0400712053226752,0.0418883279427772,-0.0432229364983758,-0.0253504940677836,0.0173675342599639,-0.019912484357109,-0.0735999920999946,0.0627686075388157,-0.013573463607376
"2",-0.0307216280596441,0.0400712053226752,0.0418883279427772,-0.0432229364983758,-0.0253504940677836,0.0173675342599639,-0.019912484357109,-0.0735999920999946,0.0627686075388157,-0.013573463607376
"2100",-0.0307216280596441,0.0400712053226752,0.0418883279427772,-0.0432229364983758,-0.0253504940677836,0.0173675342599639,-0.019912484357109,-0.0735999920999946,0.0627686075388157,-0.013573463607376
