"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"lixo",-0.0150576016741597,0.00468307913550026,0.00559564751359587,0.0128331985385228,-0.00734433716109807,2.00614873775726e-05,-0.00441695512224701,0.00940440098416707,-0.00675397536937693,0.00657437565425986,0.0114657156482324,0.000923225796573517,-0.00305562338184294,-0.000736261981626014,-0.0083371753822859,8.59108328933755e-05,-0.01625343785204,0.00430946137261248,-0.00250304659327557,0.00872894471239014
"reciclagem",-0.0150576016741597,0.00468307913550026,0.00559564751359587,0.0128331985385228,-0.00734433716109683,2.00614873784885e-05,-0.0044169551222461,0.00940440098417056,-0.00675397536937517,0.00657437565425906,0.0114657156482302,0.000923225796572848,-0.00305562338184244,-0.000736261981626278,-0.00833717538228633,8.59108328933894e-05,-0.0162534378520391,0.00430946137261192,-0.00250304659327734,0.00872894471239141
"rua",-0.0150576016741597,0.00468307913550026,0.00559564751359587,0.0128331985385228,-0.00734433716109766,2.00614873778363e-05,-0.00441695512224654,0.00940440098416951,-0.00675397536937556,0.00657437565425997,0.0114657156482311,0.000923225796572587,-0.00305562338184327,-0.000736261981627268,-0.00833717538228724,8.59108328904057e-05,-0.016253437852041,0.00430946137261365,-0.00250304659327522,0.0087289447123908
"solução",-0.0150576016741597,0.00468307913550026,0.00559564751359587,0.0128331985385228,-0.00734433716109837,2.00614873774338e-05,-0.00441695512224702,0.00940440098416745,-0.00675397536937656,0.00657437565426013,0.0114657156482323,0.00092322579657299,-0.0030556233818436,-0.000736261981625695,-0.00833717538228631,8.59108328921543e-05,-0.0162534378520415,0.00430946137261149,-0.00250304659327593,0.00872894471239113
"brasileiras",-0.00915248208385963,0.00377407855748498,0.00233913730414525,-0.00106611412085145,-0.00189066583021926,0.00470194551156318,-0.00865717399372024,0.00218077468799046,-0.00175953700487007,-0.000370941610650885,0.00143026973934783,-0.00476156242023904,0.00531366552917192,0.00145744386807815,-0.00688694296052264,0.00263831749949163,-0.0118809206021456,-0.00566964740050446,-0.00400998298166574,0.00682312399786924
"chegada",-0.00915248208385963,0.00377407855748498,0.00233913730414525,-0.00106611412085144,-0.00189066583021916,0.00470194551156328,-0.0086571739937201,0.00218077468799188,-0.0017595370048689,-0.000370941610648942,0.00143026973934907,-0.00476156242023973,0.00531366552917039,0.00145744386808098,-0.00688694296052212,0.00263831749949188,-0.011880920602147,-0.00566964740050682,-0.00400998298166562,0.00682312399787096
"dinossauros",-0.00915248208385963,0.00377407855748498,0.00233913730414525,-0.00106611412085145,-0.00189066583021938,0.00470194551156309,-0.00865717399372038,0.00218077468798949,-0.00175953700487087,-0.000370941610653105,0.00143026973934624,-0.0047615624202387,0.00531366552917372,0.00145744386807834,-0.00688694296052306,0.00263831749949084,-0.0118809206021459,-0.00566964740050371,-0.00400998298166462,0.00682312399787042
"habitado",-0.00915248208385963,0.00377407855748498,0.00233913730414525,-0.00106611412085145,-0.00189066583021936,0.00470194551156312,-0.00865717399372034,0.00218077468798963,-0.00175953700487068,-0.000370941610652495,0.00143026973934627,-0.00476156242023935,0.00531366552917227,0.00145744386808036,-0.0068869429605224,0.00263831749949213,-0.0118809206021454,-0.00566964740050498,-0.00400998298166655,0.00682312399786899
"índio",-0.00915248208385963,0.00377407855748498,0.00233913730414525,-0.00106611412085145,-0.00189066583021934,0.00470194551156313,-0.00865717399372032,0.00218077468799006,-0.00175953700487044,-0.000370941610651801,0.00143026973934721,-0.00476156242023873,0.00531366552917311,0.00145744386807893,-0.00688694296052258,0.00263831749949196,-0.0118809206021454,-0.00566964740050466,-0.00400998298166633,0.00682312399786979
"interessantes",-0.00915248208385963,0.00377407855748498,0.00233913730414525,-0.00106611412085145,-0.00189066583021935,0.00470194551156313,-0.00865717399372032,0.00218077468799009,-0.00175953700487039,-0.000370941610651606,0.00143026973934738,-0.0047615624202389,0.00531366552917203,0.0014574438680771,-0.00688694296052281,0.00263831749949153,-0.0118809206021453,-0.00566964740050399,-0.00400998298166549,0.00682312399786965
"mesmos",-0.00915248208385963,0.00377407855748498,0.00233913730414525,-0.00106611412085145,-0.00189066583021935,0.00470194551156313,-0.00865717399372033,0.00218077468798998,-0.00175953700487049,-0.00037094161065194,0.0014302697393471,-0.00476156242023898,0.00531366552917231,0.00145744386807826,-0.00688694296052266,0.00263831749949171,-0.0118809206021455,-0.00566964740050473,-0.00400998298166649,0.00682312399786884
"nascer",-0.00915248208385963,0.00377407855748498,0.00233913730414525,-0.00106611412085145,-0.00189066583021935,0.00470194551156313,-0.00865717399372032,0.00218077468799,-0.00175953700487045,-0.000370941610651801,0.00143026973934727,-0.00476156242023854,0.00531366552917408,0.00145744386807901,-0.00688694296052278,0.0026383174994913,-0.0118809206021461,-0.00566964740050577,-0.00400998298166657,0.00682312399786976
"pátrio",-0.00915248208385963,0.00377407855748498,0.00233913730414525,-0.00106611412085145,-0.00189066583021935,0.00470194551156313,-0.00865717399372033,0.00218077468798999,-0.00175953700487049,-0.000370941610651953,0.00143026973934708,-0.00476156242023886,0.00531366552917286,0.00145744386807882,-0.00688694296052269,0.00263831749949155,-0.011880920602146,-0.00566964740050527,-0.00400998298166624,0.00682312399787042
"porém",-0.00915248208385963,0.00377407855748498,0.00233913730414525,-0.00106611412085145,-0.00189066583021935,0.00470194551156313,-0.00865717399372033,0.00218077468798998,-0.00175953700487049,-0.000370941610651957,0.00143026973934706,-0.00476156242023876,0.0053136655291735,0.00145744386807964,-0.00688694296052256,0.00263831749949188,-0.0118809206021455,-0.00566964740050494,-0.00400998298166638,0.00682312399786991
"portugueses",-0.00915248208385963,0.00377407855748498,0.00233913730414525,-0.00106611412085145,-0.00189066583021935,0.00470194551156313,-0.00865717399372033,0.00218077468798998,-0.0017595370048705,-0.000370941610651986,0.00143026973934701,-0.00476156242023906,0.00531366552917214,0.00145744386807882,-0.00688694296052261,0.00263831749949188,-0.0118809206021453,-0.00566964740050441,-0.00400998298166571,0.0068231239978703
"primeiro",-0.00915248208385963,0.00377407855748498,0.00233913730414525,-0.00106611412085145,-0.00189066583021935,0.00470194551156313,-0.00865717399372033,0.00218077468798997,-0.00175953700487051,-0.000370941610652011,0.00143026973934698,-0.0047615624202393,0.0053136655291707,0.00145744386807782,-0.00688694296052278,0.00263831749949155,-0.0118809206021458,-0.00566964740050532,-0.00400998298166645,0.00682312399787001
"quais",-0.00915248208385963,0.00377407855748498,0.00233913730414525,-0.00106611412085145,-0.00189066583021935,0.00470194551156313,-0.00865717399372033,0.00218077468798998,-0.0017595370048705,-0.000370941610651992,0.001430269739347,-0.00476156242023916,0.00531366552917195,0.00145744386807826,-0.00688694296052268,0.00263831749949164,-0.0118809206021458,-0.00566964740050541,-0.00400998298166707,0.00682312399786879
"sim",-0.00915248208385963,0.00377407855748498,0.00233913730414525,-0.00106611412085145,-0.00189066583021935,0.00470194551156313,-0.00865717399372033,0.00218077468798998,-0.0017595370048705,-0.000370941610651985,0.00143026973934702,-0.00476156242023901,0.00531366552917258,0.00145744386807896,-0.00688694296052261,0.00263831749949188,-0.0118809206021453,-0.00566964740050441,-0.00400998298166571,0.00682312399787004
"terras",-0.00915248208385963,0.00377407855748498,0.00233913730414525,-0.00106611412085145,-0.00189066583021935,0.00470194551156313,-0.00865717399372033,0.00218077468798998,-0.0017595370048705,-0.000370941610651979,0.00143026973934702,-0.00476156242023895,0.00531366552917282,0.00145744386807934,-0.00688694296052253,0.00263831749949212,-0.0118809206021448,-0.00566964740050316,-0.0040099829816633,0.00682312399787368
"afamado",-0.0171081709411815,0.0104408301755699,-0.00784239784562799,0.00369243381682926,0.00790962699159618,-0.00565188061355501,0.00225451516021824,-0.00788282626710654,-0.0167442128746766,-0.00315083212569777,0.00784567259092828,0.0135409314280962,0.0233475852853098,-0.0109914819265225,-0.0184472196215428,0.0347605003778787,0.0272575859029918,-0.1148360967311,-0.00819740118080899,-0.0689052395141643
"dúzia",-0.0171081709411815,0.0104408301755699,-0.00784239784562799,0.00369243381682926,0.00790962699159618,-0.00565188061355501,0.00225451516021824,-0.00788282626710654,-0.0167442128746766,-0.00315083212569778,0.00784567259092828,0.0135409314280962,0.0233475852853098,-0.0109914819265225,-0.0184472196215428,0.0347605003778787,0.0272575859029918,-0.1148360967311,-0.00819740118080896,-0.0689052395141644
"econômico",-0.0171081709411815,0.0104408301755699,-0.00784239784562799,0.00369243381682926,0.00790962699159618,-0.00565188061355501,0.00225451516021824,-0.00788282626710654,-0.0167442128746766,-0.00315083212569778,0.00784567259092828,0.0135409314280962,0.0233475852853098,-0.0109914819265225,-0.0184472196215428,0.0347605003778787,0.0272575859029918,-0.1148360967311,-0.0081974011808086,-0.0689052395141634
"edificados",-0.0171081709411815,0.0104408301755699,-0.00784239784562799,0.00369243381682926,0.00790962699159618,-0.00565188061355501,0.00225451516021824,-0.00788282626710654,-0.0167442128746766,-0.00315083212569777,0.00784567259092828,0.0135409314280962,0.0233475852853098,-0.0109914819265225,-0.0184472196215428,0.0347605003778787,0.0272575859029918,-0.1148360967311,-0.00819740118080855,-0.0689052395141626
"ganhar",-0.0171081709411815,0.0104408301755699,-0.00784239784562799,0.00369243381682926,0.00790962699159618,-0.00565188061355501,0.00225451516021824,-0.00788282626710654,-0.0167442128746766,-0.00315083212569778,0.00784567259092828,0.0135409314280962,0.0233475852853098,-0.0109914819265225,-0.0184472196215428,0.0347605003778787,0.0272575859029918,-0.1148360967311,-0.00819740118080868,-0.0689052395141632
"hábito",-0.0171081709411815,0.0104408301755699,-0.00784239784562799,0.00369243381682926,0.00790962699159618,-0.00565188061355501,0.00225451516021824,-0.00788282626710654,-0.0167442128746766,-0.00315083212569778,0.00784567259092828,0.0135409314280962,0.0233475852853098,-0.0109914819265225,-0.0184472196215428,0.0347605003778787,0.0272575859029918,-0.1148360967311,-0.00819740118080896,-0.0689052395141644
"inestimável",-0.0171081709411815,0.0104408301755699,-0.00784239784562799,0.00369243381682926,0.00790962699159618,-0.00565188061355501,0.00225451516021824,-0.00788282626710654,-0.0167442128746766,-0.00315083212569778,0.00784567259092828,0.0135409314280962,0.0233475852853098,-0.0109914819265225,-0.0184472196215428,0.0347605003778787,0.0272575859029918,-0.1148360967311,-0.00819740118080885,-0.0689052395141639
"legou",-0.0171081709411815,0.0104408301755699,-0.00784239784562799,0.00369243381682926,0.00790962699159618,-0.00565188061355501,0.00225451516021824,-0.00788282626710654,-0.0167442128746766,-0.00315083212569777,0.00784567259092828,0.0135409314280962,0.0233475852853098,-0.0109914819265225,-0.0184472196215428,0.0347605003778787,0.0272575859029918,-0.1148360967311,-0.00819740118080885,-0.068905239514164
"lhe",-0.0171081709411815,0.0104408301755699,-0.00784239784562799,0.00369243381682926,0.00790962699159618,-0.00565188061355501,0.00225451516021824,-0.00788282626710654,-0.0167442128746766,-0.00315083212569777,0.00784567259092828,0.0135409314280962,0.0233475852853098,-0.0109914819265225,-0.0184472196215428,0.0347605003778787,0.0272575859029918,-0.1148360967311,-0.00819740118080885,-0.068905239514164
"mestre",-0.0171081709411815,0.0104408301755699,-0.00784239784562799,0.00369243381682926,0.00790962699159618,-0.00565188061355501,0.00225451516021824,-0.00788282626710654,-0.0167442128746766,-0.00315083212569777,0.00784567259092828,0.0135409314280962,0.0233475852853098,-0.0109914819265225,-0.0184472196215428,0.0347605003778787,0.0272575859029918,-0.1148360967311,-0.00819740118080885,-0.0689052395141639
"obras",-0.0171081709411815,0.0104408301755699,-0.00784239784562799,0.00369243381682926,0.00790962699159618,-0.00565188061355501,0.00225451516021824,-0.00788282626710654,-0.0167442128746766,-0.00315083212569777,0.00784567259092828,0.0135409314280962,0.0233475852853098,-0.0109914819265225,-0.0184472196215428,0.0347605003778787,0.0272575859029918,-0.1148360967311,-0.00819740118080885,-0.0689052395141639
"ocasião",-0.0171081709411815,0.0104408301755699,-0.00784239784562799,0.00369243381682926,0.00790962699159618,-0.00565188061355501,0.00225451516021824,-0.00788282626710654,-0.0167442128746766,-0.00315083212569778,0.00784567259092828,0.0135409314280962,0.0233475852853098,-0.0109914819265225,-0.0184472196215428,0.0347605003778787,0.0272575859029918,-0.1148360967311,-0.00819740118080882,-0.0689052395141639
"perder",-0.0171081709411815,0.0104408301755699,-0.00784239784562799,0.00369243381682926,0.00790962699159618,-0.00565188061355501,0.00225451516021824,-0.00788282626710654,-0.0167442128746766,-0.00315083212569777,0.00784567259092828,0.0135409314280962,0.0233475852853098,-0.0109914819265225,-0.0184472196215428,0.0347605003778787,0.0272575859029918,-0.1148360967311,-0.00819740118080882,-0.0689052395141639
"português",-0.0171081709411815,0.0104408301755699,-0.00784239784562799,0.00369243381682926,0.00790962699159618,-0.00565188061355501,0.00225451516021824,-0.00788282626710654,-0.0167442128746766,-0.00315083212569777,0.00784567259092829,0.0135409314280962,0.0233475852853098,-0.0109914819265225,-0.0184472196215428,0.0347605003778787,0.0272575859029918,-0.1148360967311,-0.00819740118080882,-0.0689052395141639
"prédios",-0.0171081709411815,0.0104408301755699,-0.00784239784562799,0.00369243381682926,0.00790962699159618,-0.00565188061355501,0.00225451516021824,-0.00788282626710654,-0.0167442128746766,-0.00315083212569777,0.00784567259092829,0.0135409314280962,0.0233475852853098,-0.0109914819265225,-0.0184472196215428,0.0347605003778787,0.0272575859029918,-0.1148360967311,-0.00819740118080882,-0.068905239514164
"residiu",-0.0171081709411815,0.0104408301755699,-0.00784239784562799,0.00369243381682926,0.00790962699159618,-0.00565188061355501,0.00225451516021824,-0.00788282626710654,-0.0167442128746766,-0.00315083212569777,0.00784567259092829,0.0135409314280962,0.0233475852853098,-0.0109914819265225,-0.0184472196215428,0.0347605003778787,0.0272575859029918,-0.1148360967311,-0.00819740118080882,-0.068905239514164
"rico",-0.0171081709411815,0.0104408301755699,-0.00784239784562799,0.00369243381682926,0.00790962699159618,-0.00565188061355501,0.00225451516021824,-0.00788282626710654,-0.0167442128746766,-0.00315083212569777,0.00784567259092829,0.0135409314280962,0.0233475852853098,-0.0109914819265225,-0.0184472196215428,0.0347605003778787,0.0272575859029918,-0.1148360967311,-0.00819740118080882,-0.068905239514164
"ríspido",-0.0171081709411815,0.0104408301755699,-0.00784239784562799,0.00369243381682926,0.00790962699159618,-0.00565188061355501,0.00225451516021824,-0.00788282626710654,-0.0167442128746766,-0.00315083212569777,0.00784567259092829,0.0135409314280962,0.0233475852853098,-0.0109914819265225,-0.0184472196215428,0.0347605003778787,0.0272575859029918,-0.1148360967311,-0.00819740118080882,-0.068905239514164
